Order,Family,Genus_species,FAD,LAD,lnMass_g,PBDB life habit,PBDB_diet,taxon rank at which diet assignment was made,Recoded_Diet,Recoded_groups
Carnivora,Hyaenidae,Lycyaena chaeretis,10.154,3.96,10.5964966,ground dwelling,carnivore,genus,carnivore,carnivore guild
NA,NA,Paramachaerodus ogygia,NA,NA,10.69090259,scansorial,carnivore,genus,carnivore,carnivore guild
Carnivora,Hyaenidae,Belbus beaumonti,6.073,6.073,10.71392844,ground dwelling,carnivore,genus,carnivore,carnivore guild
Carnivora,Felidae,Acinonyx pardinensis,4.266,1.3,10.81984735,scansorial,carnivore,genus,carnivore,carnivore guild
Carnivora,Mustelidae,Plesiogulo crassa,NA,NA,10.81984735,scansorial,carnivore,genus,carnivore,carnivore guild
Carnivora,Hyaenidae,Hyaenictitherium hyaenoides,12.629,6.289,10.89583266,ground dwelling,carnivore,genus,carnivore,carnivore guild
Carnivora,Hyaenidae,Hyaenictis graeca,13.789,3.96,10.91425334,ground dwelling,carnivore,genus,carnivore,carnivore guild
Carnivora,Felidae,Panthera palaeosinensis,NA,NA,10.95800246,scansorial,carnivore,genus,carnivore,carnivore guild
NA,NA,Pseudocyonopsis ambiguus,NA,NA,11.08464464,ground dwelling,carnivore,genus,carnivore,carnivore guild
Carnivora,Hyaenidae,Adcrocuta eximia,12.629,3.96,11.15602478,ground dwelling,carnivore,genus,carnivore,carnivore guild
Carnivora,Hyaenidae,Chasmaporthetes lunensis,4.266,2.197,11.23661525,ground dwelling,carnivore,genus,carnivore,carnivore guild
Carnivora,Hyaenidae,Crocuta honanensis,NA,NA,11.26654886,ground dwelling,carnivore,genus,carnivore,carnivore guild
Carnivora,Felidae,Metailurus major,8.725,3.96,11.28957471,scansorial,carnivore,genus,carnivore,carnivore guild
Carnivora,Hyaenidae,Chasmaporthetes kani,4.266,4.266,11.33562641,ground dwelling,carnivore,genus,carnivore,carnivore guild
NA,NA,Paramachairodus orientalis,NA,NA,11.34944192,scansorial,carnivore,genus,carnivore,carnivore guild
Carnivora,Hyaenidae,Chasmaporthetes progressus,NA,NA,11.43233499,ground dwelling,carnivore,genus,carnivore,carnivore guild
Carnivora,Mustelidae,Plesiogulo monspessulanus,7.604,3.96,11.51292546,scansorial,carnivore,genus,carnivore,carnivore guild
Carnivora,Felidae,Machairodus alberdiae,10.154,10.154,11.51292546,scansorial,carnivore,genus,carnivore,carnivore guild
Carnivora,Amphicyonidae,Amphicyon olisiponensis,18.2,18.2,11.53595132,ground dwelling,carnivore,genus,carnivore,carnivore guild
NA,NA,Pseudocyon sansanensis,NA,NA,11.67410642,ground dwelling,carnivore,genus,carnivore,carnivore guild
Carnivora,Hyaenidae,Pachycrocuta brevirostris,3.96,0.4535,11.69482969,ground dwelling,carnivore,genus,carnivore,carnivore guild
Carnivora,Amphicyonidae,Amphicyon palaeindicus,13.789,8.47,11.77542017,ground dwelling,carnivore,genus,carnivore,carnivore guild
Carnivora,Hyaenidae,Pachycrocuta licenti,1.6845,1.6845,11.78002534,ground dwelling,carnivore,genus,carnivore,carnivore guild
Carnivora,Felidae,Amphimachairodus palanderi,NA,NA,11.78463051,scansorial,carnivore,genus,carnivore,carnivore guild
NA,NA,Machairodus palanderi,NA,NA,11.78463051,scansorial,carnivore,genus,carnivore,carnivore guild
NA,NA,Dinofelis abeli,NA,NA,11.91127269,scansorial,carnivore,genus,carnivore,carnivore guild
Carnivora,Amphicyonidae,Amphicyon bohemicus,NA,NA,11.93660112,ground dwelling,carnivore,genus,carnivore,carnivore guild
Carnivora,Amphicyonidae,Amphicyon cooperi,18.45,16.435,11.98265282,ground dwelling,carnivore,genus,carnivore,carnivore guild
Carnivora,Amphicyonidae,Amphicyon tairumensis,13.2,10.651,12.27277855,ground dwelling,carnivore,genus,carnivore,carnivore guild
Carnivora,Felidae,Machairodus aphanistus,14.181,4.466,12.30040957,scansorial,carnivore,genus,carnivore,carnivore guild
Carnivora,Felidae,Homotherium crenatidens,6.289,0.4535,12.35106644,scansorial,carnivore,genus,carnivore,carnivore guild
Carnivora,Amphicyonidae,Amphicyon confucianus,13.789,13.789,12.42935433,ground dwelling,carnivore,genus,carnivore,carnivore guild
Perissodactyla,Brontotheriidae,Metarhinus parvus,45.15,45.15,12.599,NA,carnivore,genus,carnivore,carnivore guild
NA,NA,Amphicyon ulungurensis,NA,NA,12.70987365,ground dwelling,carnivore,genus,carnivore,carnivore guild
NA,NA,Plesiomeles pusilla,NA,NA,5.298248299,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Martes delphinensis,15.804,11.925,5.991326412,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Mesomephitis medius,10.4,10.4,6.214677166,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Martes cadeoti,15.804,15.804,6.55085459,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Promephitis parvus,NA,NA,6.80413895,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Martes burdigaliensis,16.435,15.804,6.907755279,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Martes collongensis,15.804,15.804,7.089659501,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Plesiomeles cajali,NA,NA,7.17024998,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Martes andersoni,7.016,7.016,7.313010255,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Trochictis narcisoi,10.4,10.4,7.313010255,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Martes munki,16.435,10.4,7.377482638,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Baranogale adroveri,8.225,8.225,7.600833392,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Martes filholi,15.804,3.96,7.695239381,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Martes sainjoni,16.435,16.435,7.741291083,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Promephitis maeotica,9.427,9.427,8.006088368,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Martes mellibulla,10.4,10.4,8.006088368,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Martes basilii,NA,NA,8.006088368,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Promephitis hootoni,7.498,7.498,8.130427963,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Martes woodwardi,3.96,3.96,8.16036157,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Mellivora benfieldi,7.604,7.604,8.293911505,semifossorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Parataxidea crassa,3.96,3.96,8.411343345,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
NA,NA,Trochictis depereti,NA,NA,8.411343345,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Baranogale antiqua,4.55,2.197,8.517262259,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Parataxidea maraghana,NA,NA,8.517262259,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Parataxidea sinensis,NA,NA,8.65771995,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Martes sansaniensis,14.81,8.225,8.699166481,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Canidae,Vulpes chikushanensis,1.3,1.3,8.765941449,ground dwelling,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Viverridae,Viverra oeningensis,NA,NA,8.853439683,ground dwelling,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Trochotherium cyamoides,13.789,11.925,8.922517235,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
NA,NA,Promeles paleoattica,NA,NA,8.966266352,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Ischyrictis mustelinus,16.435,11.925,8.986989618,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Melodon majori,NA,NA,9.072185266,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Hoplictis florancei,16.435,16.435,9.210340372,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Canidae,Eucyon adoxus,NA,NA,9.29093085,ground dwelling,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Canidae,Vulpes alopecoides,3.96,1.6845,9.304746361,ground dwelling,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Ischyrictis anatolicus,14.81,13.2,9.392244594,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
NA,NA,Proailurus lemansis,NA,NA,9.546517796,ground dwelling,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Ischyrictis zibethoides,15.804,13.789,9.615595348,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
NA,NA,Gulo minor,NA,NA,9.615595348,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
NA,NA,Meles hollitzeri,NA,NA,9.615595348,semifossorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Meles thorali,2.672,2.197,9.680067731,semifossorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Canidae,Canis mosbachensis,1.6845,0.4535,9.797499571,ground dwelling,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Canidae,Xenocyon falconeri,1.6845,1.3,10.16591319,ground dwelling,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Canidae,Canis arnensis,2.894,0.4535,10.30867346,ground dwelling,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Canidae,Canis etruscus,3.96,0.4535,10.30867346,ground dwelling,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Mustelidae,Ischyrictis helbingi,NA,NA,10.46294666,scansorial,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Ailuridae,Simocyon diaphorus,10.4,10.4,10.91425334,ground dwelling,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Percrocutidae,Percrocuta minor,NA,NA,10.91425334,ground dwelling,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Canidae,Canis longdanensis,NA,NA,11.28036437,ground dwelling,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Canidae,Canis teilhardi,NA,NA,11.31950832,ground dwelling,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Percrocutidae,Percrocuta tungurensis,13.2,10.651,11.81226153,ground dwelling,"carnivore, omnivore",genus,carnivore,carnivore guild
Carnivora,Barbourofelidae,Barbourofelis piveteaui,NA,NA,11.91818044,ground dwelling,"carnivore, omnivore",genus,carnivore,carnivore guild
NA,Viverravidae,Viverravus rosei,57.25,54.4,4.667,ground dwelling,carnivore,species,carnivore,carnivore guild
NA,Viverravidae,Simpsonictis tenuis,60.9,59.85,4.671,ground dwelling,carnivore,species,carnivore,carnivore guild
Cimolesta,Cimolestidae,Didelphodus serus,42.45,42.45,4.884,ground dwelling,carnivore,species,carnivore,carnivore guild
Cimolesta,Cimolestidae,Didelphodus rheos,42.3,42.3,4.95,ground dwelling,carnivore,species,carnivore,carnivore guild
Cimolesta,Cimolestidae,Didelphodus altidens,54.85,46.3,4.983,ground dwelling,carnivore,species,carnivore,carnivore guild
Acreodi,Hapalodectidae,Hapalodectes anthracinus,55.4,55.25,5.123,ground dwelling,carnivore,species,carnivore,carnivore guild
NA,Viverravidae,Viverravus laytoni,57.9,52.2,5.283,ground dwelling,carnivore,species,carnivore,carnivore guild
Cimolesta,Cimolestidae,Didelphodus absarokae,55.95,52,5.327,ground dwelling,carnivore,species,carnivore,carnivore guild
Acreodi,Hapalodectidae,Hapalodectes leptognathus,53.8,52.2,5.415,ground dwelling,carnivore,species,carnivore,carnivore guild
NA,NA,Raphictis gausion,58.8,58,5.561,ground dwelling,carnivore,species,carnivore,carnivore guild
NA,Viverravidae,Simpsonictis pegus,60.9,60.4,5.684,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Acarictis ryani,55.6,54.8,5.737,ground dwelling,carnivore,species,carnivore,carnivore guild
NA,Viverravidae,Viverravus acutus,56.8,52.7,5.989,ground dwelling,carnivore,species,carnivore,carnivore guild
NA,Viverravidae,Protictis paralus,58.7835,58.3,6.08,ground dwelling,carnivore,species,carnivore,carnivore guild
NA,Viverravidae,Viverravus minutus,52.4,45.15,6.166,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Prototomus deimos,55.5,54.65,6.227,ground dwelling,carnivore,species,carnivore,carnivore guild
NA,Viverravidae,Viverravus lutosus,55.65,50.9375,6.231,ground dwelling,carnivore,species,carnivore,carnivore guild
NA,NA,Bryanictis microlestes,60.9,58.85,6.266,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Prolimnocyon haematus,55.95,54.65,6.377,scansorial,carnivore,species,carnivore,carnivore guild
Carnivora,Miacidae,Miacis deutschi,55.6,54.9,6.494,arboreal,carnivore,species,carnivore,carnivore guild
NA,Viverravidae,Viverravus gracilis,55.1,46.15,6.836,ground dwelling,carnivore,species,carnivore,carnivore guild
Acreodi,NA,Wyolestes dioctes,52.5,52.5,6.854,scansorial,carnivore,species,carnivore,carnivore guild
Carnivora,Miacidae,Miacis exiguus,55.7,50.9375,6.884,arboreal,carnivore,species,carnivore,carnivore guild
Carnivora,Miacidae,Miacis petilus,54.3,53.4,6.934,arboreal,carnivore,species,carnivore,carnivore guild
NA,Viverravidae,Viverravus politus,57.7,53.2,6.973,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Hyaenodon raineyi,36.55,36.55,6.998,ground dwelling,carnivore,species,carnivore,carnivore guild
Acreodi,NA,Wyolestes iglesius,56.05,56.05,7.011,scansorial,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Arfia junnei,55.6,55.45,7.083,ground dwelling,carnivore,species,carnivore,carnivore guild
Acreodi,NA,Wyolestes apheles,55.3,54.9,7.136,scansorial,carnivore,species,carnivore,carnivore guild
Carnivora,Miacidae,Miacis latidens,53.8,50.9375,7.235,arboreal,carnivore,species,carnivore,carnivore guild
Carnivora,Miacidae,Miacis hookwayi,43.05,40.9,7.2735,arboreal,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Prolimnocyon antiquus,53.4875,50.9375,7.282,scansorial,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Prolimnocyon atavus,56.8,53.2,7.300905537,scansorial,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Prototomus phobos,55.3,53.6,7.348117924,ground dwelling,carnivore,species,carnivore,carnivore guild
NA,Viverravidae,Viverravus sicarius,51.75,48.95,7.383,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Hyaenodon venturae,39.75,36.7,7.409,ground dwelling,carnivore,species,carnivore,carnivore guild
Carnivora,Miacidae,Miacis parvivorus,52.1,46.45,7.486,arboreal,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Gazinocyon vulpeculus,53.4875,52.2,7.573,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Hyaenodon microdon,36.9,36.9,7.589,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Galecyon mordax,55.8,53.7,7.597,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Arfia zele,55.5,54.9,7.713,ground dwelling,carnivore,species,carnivore,carnivore guild
NA,Viverravidae,Protictis agastor,58.35,58.3,7.721,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Prototomus secundarius,55.7,52.75,7.787278609,ground dwelling,carnivore,species,carnivore,carnivore guild
NA,Viverravidae,Protictis haydenianus,61.75,58.9,7.833,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Prototomus martis,55.65,53.8,7.861166093,ground dwelling,carnivore,species,carnivore,carnivore guild
NA,Viverravidae,Protictis simpsoni,61.45,61.45,7.8671055,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Pyrocyon dioctetus,54.45,54.45,7.870235848,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Sinopa rapax,50.65,46.45,7.996,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Hyaenodon mustelinus,35.65,33.3,7.999,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Oxyaenidae,Tytthaena parrisi,58.35,58.3,8.013,ground dwelling,carnivore,species,carnivore,carnivore guild
Carnivora,Felidae,Leopardus wiedii,1.1,0.063,8.038,arboreal,carnivore,species,carnivore,carnivore guild
NA,Viverravidae,Didymictis leptomylus,55.7,52.2,8.134,ground dwelling,carnivore,species,carnivore,carnivore guild
Carnivora,Felidae,Pseudaelurus stouti,12.9,12.9,8.2195,scansorial,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Prototomus robustus,55.8,53.25,8.245129363,ground dwelling,carnivore,species,carnivore,carnivore guild
Carnivora,Amphicyonidae,Paradaphoenus cuspigerus,25.615,25.55,8.29702482,ground dwelling,carnivore,species,carnivore,carnivore guild
Acreodi,Mesonychidae,Dissacus navajovius,63.7,58.1,8.33,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Oxyaenidae,Machaeroides simpsoni,52.1,50.9375,8.335794895,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Arfia shoshoniensis,56.1,54.8,8.396669906,ground dwelling,carnivore,species,carnivore,carnivore guild
NA,Viverravidae,Didymictis proteus,61.9,55.5,8.46073105,ground dwelling,carnivore,species,carnivore,carnivore guild
NA,Viverravidae,Didymictis altidens,54.3,50.9375,8.519,ground dwelling,carnivore,species,carnivore,carnivore guild
NA,Miacidae,Prodaphaenus uintensis,44.75,44.75,8.519564844,arboreal,carnivore,species,carnivore,carnivore guild
Acreodi,NA,Simidectes medius,43,42.85,8.58,scansorial,carnivore,species,carnivore,carnivore guild
Carnivora,Amphicyonidae,Brachyrhynchocyon montanus,35.85,35.85,8.645,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Tritemnodon strenuus,54.6,51.75,8.697817666,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Arfia opisthotoma,55.1,54.2,8.728493043,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Oxyaenidae,Dipsalidictis platypus,56.8,55.45,8.757,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Proviverra longipes,41.55,41.55,8.802636078,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Oxyaenidae,Machaeroides eothen,48.4,48.4,8.813550324,ground dwelling,carnivore,species,carnivore,carnivore guild
Carnivora,Felidae,Lynx rufus,3.6,0.006,8.823504697,scansorial,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Sinopa major,50.45,43.55,8.865,ground dwelling,carnivore,species,carnivore,carnivore guild
NA,NA,Pseudaelurus guangheensis,NA,NA,8.894886214,scansorial,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Proviverroides piercei,50.45,50.45,8.902,ground dwelling,carnivore,species,carnivore,carnivore guild
Acreodi,NA,Simidectes magnus,43.55,40,8.919,scansorial,carnivore,species,carnivore,carnivore guild
Acreodi,Mesonychidae,Dissacus argenteus,57.7,57.7,8.97,ground dwelling,carnivore,species,carnivore,carnivore guild
Carnivora,Felidae,Leopardus pardalis,0.156,0.02006,9.011142726,scansorial,carnivore,species,carnivore,carnivore guild
NA,Viverravidae,Didymictis protenus,57,52.8,9.076,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Hyaenodon crucians,37.2,33.2,9.134146382,ground dwelling,carnivore,species,carnivore,carnivore guild
Carnivora,Felidae,Lynx pardinus,1.6845,1.6845,9.141262819,scansorial,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Hyaenodon vetus,39.85,37.6,9.143,ground dwelling,carnivore,species,carnivore,carnivore guild
Carnivora,Felidae,Lynx canadensis,0.2,0.069,9.229445038,scansorial,carnivore,species,carnivore,carnivore guild
Carnivora,Felidae,Lynx proterolyncis,8.4,8.1,9.238132309,scansorial,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Hyaenodon montanus,38.35,35.5,9.29,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Oxyaenidae,Apataelurus kayi,44.75,44.75,9.29,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Hyaenodontidae,Tritemnodon hians,53.4875,53.4875,9.422178201,ground dwelling,carnivore,species,carnivore,carnivore guild
Acreodi,Mesonychidae,Dissacus praenuntius,58.3,55.1,9.477,ground dwelling,carnivore,species,carnivore,carnivore guild
Carnivora,Amphicyonidae,Paradaphoenus tooheyi,25,25,9.51870599,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Oxyaenidae,Dipsalidictis krausei,57.05,56.1,9.522,ground dwelling,carnivore,species,carnivore,carnivore guild
Carnivora,Mustelidae,Plesiogulo marshalli,9.7,6.05,9.578200991,scansorial,carnivore,species,carnivore,carnivore guild
Carnivora,Felidae,Lynx longignathus,9.7,9.7,9.602554891,scansorial,carnivore,species,carnivore,carnivore guild
Carnivora,Felidae,Pseudaelurus lorteti,16.435,13.789,9.615595348,scansorial,carnivore,species,carnivore,carnivore guild
Acreodi,NA,Simidectes merriami,40.5,39.75,9.627,scansorial,carnivore,species,carnivore,carnivore guild
Carnivora,Amphicyonidae,Cynelos caroniavorus,21.7,21.7,9.655,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Oxyaenidae,Dipsalidictis transiens,56.8,54.65,9.656,ground dwelling,carnivore,species,carnivore,carnivore guild
NA,NA,Eofelis edwardsii,NA,NA,9.693883242,ground dwelling,carnivore,species,carnivore,carnivore guild
Carnivora,Hyaenidae,Thalassictis robusta,10.4,6.325,9.735329773,ground dwelling,carnivore,species,carnivore,carnivore guild
NA,NA,Dinailurictis bonali,NA,NA,9.735329773,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Oxyaenidae,Oxyaena lupina,53.1,52.2,9.790364592,ground dwelling,carnivore,species,carnivore,carnivore guild
Carnivora,Hyaenidae,Ictitherium viverrinum,10.4,3.96,9.797499571,ground dwelling,carnivore,species,carnivore,carnivore guild
Carnivora,Mustelidae,Plesiogulo lindsayi,9.15,6.85,9.932581129,scansorial,carnivore,species,carnivore,carnivore guild
Carnivora,Felidae,Felis rexroadensis,7.25,3.4,9.961,scansorial,carnivore,species,carnivore,carnivore guild
Carnivora,Felidae,Pseudaelurus aeluroides,14.785,13.2,9.9885,scansorial,carnivore,species,carnivore,carnivore guild
Carnivora,Nimravidae,Eusmilus bidentatus,31.15,31.15,10.01624515,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Oxyaenidae,Dipsalidictis aequidens,57,56.1,10.03,ground dwelling,carnivore,species,carnivore,carnivore guild
Carnivora,Nimravidae,Dinictis felina,35.5,33.2,10.03927101,ground dwelling,carnivore,species,carnivore,carnivore guild
Carnivora,Felidae,Adelphailurus kansensis,8.5,7.15,10.0535,scansorial,carnivore,species,carnivore,carnivore guild
Carnivora,Felidae,Pseudaelurus marshi,15.3,12.9,10.1105,scansorial,carnivore,species,carnivore,carnivore guild
Carnivora,NA,Borophagus orc,9.05,8.95,10.12155156,ground dwelling,carnivore,species,carnivore,carnivore guild
Carnivora,Nimravidae,Hoplophoneus primaevus,34.55,33.2,10.15301945,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Oxyaenidae,Oxyaena gulo,55.2,54.3,10.181,ground dwelling,carnivore,species,carnivore,carnivore guild
Creodonta,Oxyaenidae,Dipsalodon churchillorum,57.65,56.8,10.19,ground dwelling,carnivore,species,carnivore,carnivore guild
Carnivora,NA,Borophagus parvus,8.5,6.85,10.20575818,ground dwelling,carnivore,species,carnivore,carnivore guild
Carnivora,Felidae,Pseudaelurus intrepidus,17.35,5.8,10.2825,scansorial,carnivore,species,carnivore,carnivore guild
Cetacea,NA,Pakicetus attocki,52.2,41.25,10.29890232,amphibious,carnivore,species,carnivore,NA
Carnivora,Felidae,Pseudaelurus quadridentatus,18.2,9.2,10.30867346,scansorial,carnivore,species,carnivore,carnivore guild
Carnivora,Felidae,Puma concolor,2.35,0.006,10.3515,scansorial,carnivore,species,carnivore,carnivore guild
